源,模拟类型,样本数,均值,中位数,标准差,最小值,最大值,5%分位数,95%分位数,95%置信区间下限,95%置信区间上限
XTE J1550-564,continuum-fitting,1000,0.7152390502564495,0.7140091623899267,0.08057879420700134,0.4275930787916715,0.9546884564937018,0.5859060650983019,0.8479749324164443,0.5598130089341331,0.8758428099204908
XTE J1550-564,combining,1000,0.488096329667105,0.4888759883775339,0.15930608953525832,0.0300973273162962,1.0,0.23461448334852303,0.76055075850343,0.19608808401545325,0.801431979619814
MAXI J1820+070,all,1000,0.43201166411526754,0.5252977341195204,0.5787508442263956,-1.0,1.0,-0.7243862660692357,1.0,-0.9831891581936688,1.0
MAXI J1820+070,reflection,1000,0.36296563855689046,0.9605639460824226,0.7183256276390223,-1.0,1.0,-0.9538096367067177,1.0,-1.0,1.0
MAXI J1820+070,continuum-fitting,1000,0.5147729124536626,0.5263975381130197,0.3829357781309652,-0.4133888929126063,1.0,-0.04087564420770156,0.9615536324379994,-0.11565263984928244,1.0
MAXI J1348-630,all,1000,0.7592286155810054,0.7971680063623284,0.18159544530166927,0.3350960564864274,1.0,0.3951635405245303,0.9891131674042606,0.3776333241287146,0.9947576447987171
MAXI J1348-630,reflection,1000,0.8564111104788023,0.8252764610640175,0.09209555357626784,0.6418658366724894,1.0,0.7320920403680808,0.9933402988209912,0.7181177120595382,0.9992528934387936
MAXI J1348-630,continuum-fitting,1000,0.6051484751060322,0.6210428498199427,0.1965193931154899,0.3152273595936427,0.8570281529056989,0.3715587114794493,0.8262491019491768,0.3630745655319236,0.8336317715560074
MAXI J1348-630,combining,1000,0.7898971124109462,0.7919916828153887,0.12425131574941699,0.3307336356017432,1.0,0.5830436389907312,1.0,0.5239456467881268,1.0
MAXI J0637-430,all,1000,0.5842264836933012,0.5668625668739113,0.3844894261832892,0.1679665439079531,1.0,0.1864316907605749,0.9933680582819285,0.18410060072503878,1.0
MAXI J0637-430,reflection,1000,0.9684372984061661,0.9691290534284658,0.019606115507876873,0.8806879227294224,1.0,0.9357795331299847,1.0,0.9299149992945339,1.0
MAXI J0637-430,continuum-fitting,1000,0.20037379735349034,0.20023263658236573,0.010364382111681093,0.1656393761033198,0.2372783334476318,0.18356631429834264,0.2177576722122726,0.18085135951777037,0.22061059008446776
Swift J151857.0-572147,all,1000,0.7098264449503664,0.7070990398077657,0.17986969735269095,0.1471549964458302,1.0,0.41842582417341856,1.0,0.3580816710544085,1.0
Swift J151857.0-572147,reflection,1000,0.7266474934766376,0.726488218783215,0.1873069219931077,0.177422862314629,1.0,0.41189968413509803,1.0,0.36075064388535694,1.0
Swift J151857.0-572147,continuum-fitting,1000,0.6991731166922047,0.6962056404833479,0.1609830680970965,0.1786438757572963,1.0,0.42981322736159155,0.9647132180516104,0.37323108680057876,1.0
MAXI J1744-294,all,1000,0.6953666220890496,0.6666379327103491,0.20286167378421932,0.0289188152522027,1.0,0.3390806774573162,0.9795937686296446,0.3029648409336609,0.9991619219728158
MAXI J1744-294,reflection,1000,0.9389484341835805,0.9404205893833981,0.04113986315490909,0.795495162530269,1.0,0.8661749425545135,1.0,0.8521258294633012,1.0
MAXI J1744-294,continuum-fitting,1000,0.5800883718768456,0.6351581032545561,0.13871488278972952,-0.0070100516042247,0.939964185036544,0.3001894870757628,0.7232776203910581,0.2643250898631596,0.7448831511491564
